Date,Symbol,Close,High,Low,Open,Volume
2018-01-01,TSLA,311.35,311.35,311.35,311.35,0
2018-01-02,TSLA,320.53,322.1099,311.0,312.0,4352241
2018-01-03,TSLA,317.25,325.25,315.55,321.0,4521527
2018-01-04,TSLA,314.62,318.55,305.68,312.87,9946304
2018-01-05,TSLA,316.58,317.24,312.0,316.62,4591180
2018-01-08,TSLA,336.41,337.0199,315.5,316.0,9859435
2018-01-09,TSLA,333.69,338.8,327.405,335.16,7146631
2018-01-10,TSLA,334.8,337.0,330.0,332.2,4309926
2018-01-11,TSLA,337.95,344.8099,333.26,335.24,6645484
2018-01-12,TSLA,336.22,340.41,333.67,338.63,4825059
2018-01-15,TSLA,336.22,336.22,336.22,336.22,0
2018-01-16,TSLA,340.06,345.0,334.8,337.54,6474251
2018-01-17,TSLA,347.16,349.0,339.75,340.47,7103505
2018-01-18,TSLA,344.57,352.3,343.74,345.67,5685845
2018-01-19,TSLA,350.02,350.5899,342.6,345.0,4888303
2018-01-22,TSLA,351.56,357.83,349.2,349.4,6210360
2018-01-23,TSLA,352.79,360.5,351.0,360.0,5465414
2018-01-24,TSLA,345.89,354.75,343.52,354.58,5287478
2018-01-25,TSLA,337.64,349.2,336.4,348.27,6740303
2018-01-26,TSLA,342.85,344.0,335.71,341.5,4539356
2018-01-29,TSLA,349.53,350.85,338.28,339.85,4747149
2018-01-30,TSLA,345.82,348.27,342.17,345.14,4717700
2018-01-31,TSLA,354.31,356.19,345.19,347.51,6214069
2018-02-01,TSLA,349.25,359.66,348.63,351.0,4197687
2018-02-02,TSLA,343.75,351.95,340.51,348.44,3704836
2018-02-05,TSLA,333.13,344.47,333.0,337.97,4464147
2018-02-06,TSLA,333.97,336.22,323.5,325.21,5088438
2018-02-07,TSLA,345.0,346.0,335.66,338.99,6969239
2018-02-08,TSLA,315.23,348.62,314.6,343.31,10314573
2018-02-09,TSLA,310.42,320.9845,294.76,319.93,12933721
2018-02-12,TSLA,315.73,318.08,306.25,316.13,6227822
2018-02-13,TSLA,323.66,324.19,312.5105,315.02,4560231
2018-02-14,TSLA,322.31,326.17,318.52,320.84,3950743
2018-02-15,TSLA,334.065,334.12,322.4,324.5,5912917
2018-02-16,TSLA,335.49,343.12,331.64,332.5,5642637
2018-02-19,TSLA,335.49,335.49,335.49,335.49,0
2018-02-20,TSLA,334.77,340.84,331.5,334.47,4009435
2018-02-21,TSLA,333.3,339.6929,333.17,336.03,3219649
2018-02-22,TSLA,346.17,347.44,334.7501,335.53,6969808
2018-02-23,TSLA,352.05,354.99,347.1,347.83,5817387
2018-02-26,TSLA,357.42,359.0,352.355,353.5,4339985
2018-02-27,TSLA,350.99,359.99,350.01,356.25,4797419
2018-02-28,TSLA,343.06,355.24,342.22,352.57,6069658
2018-03-01,TSLA,330.93,348.67,330.07,345.01,6885601
2018-03-02,TSLA,335.12,335.22,322.97,326.98,5092829
2018-03-05,TSLA,333.35,337.75,329.2929,332.39,3823769
2018-03-06,TSLA,328.2,336.37,327.03,333.75,4285744
2018-03-07,TSLA,332.3,332.5,321.74,325.44,5007297
2018-03-08,TSLA,329.1,333.3,326.274,332.86,3566244
2018-03-09,TSLA,327.17,328.49,322.37,324.1,5506764
2018-03-12,TSLA,345.51,347.21,326.5,328.61,8264035
2018-03-13,TSLA,341.84,345.12,336.2635,344.92,5965805
2018-03-14,TSLA,326.63,339.81,323.93,336.76,7967370
2018-03-15,TSLA,325.6,332.85,321.1,329.38,6564801
2018-03-16,TSLA,321.35,327.4,319.07,325.96,6117279
2018-03-19,TSLA,313.56,320.75,309.67,316.5,7484294
2018-03-20,TSLA,310.55,316.25,308.76,314.87,4764293
2018-03-21,TSLA,316.53,322.44,310.19,310.25,5958411
2018-03-22,TSLA,309.1,318.82,308.18,313.89,4939771
2018-03-23,TSLA,301.54,311.61,300.45,311.25,6654899
2018-03-26,TSLA,304.18,307.59,291.36,307.34,8375175
2018-03-27,TSLA,279.18,304.27,277.18,304.0,13872029
2018-03-28,TSLA,257.78,268.68,252.1,264.58,21001437
2018-03-29,TSLA,266.13,270.9599,248.21,256.49,15170749
2018-03-30,TSLA,266.13,266.13,266.13,266.13,0
2018-04-02,TSLA,252.48,260.3318,244.5901,256.26,16113968
2018-04-03,TSLA,267.53,273.35,254.49,269.82,18844384
2018-04-04,TSLA,286.94,288.37,252.0,252.78,19896746
2018-04-05,TSLA,305.72,306.26,288.2,289.34,19121101
2018-04-06,TSLA,299.3,309.28,295.5,301.0,13520286
2018-04-09,TSLA,289.66,309.5,289.21,300.37,10249805
2018-04-10,TSLA,304.7,307.1,293.68,298.97,11024259
2018-04-11,TSLA,300.93,308.98,299.66,300.7403,7482945
2018-04-12,TSLA,294.08,303.95,293.68,302.32,7608769
2018-04-13,TSLA,300.34,303.9499,295.98,303.6,7327223
2018-04-16,TSLA,291.21,299.66,289.01,299.0,6338488
2018-04-17,TSLA,287.69,292.17,282.51,288.87,7000023
2018-04-18,TSLA,293.35,300.24,288.16,291.08,6557700
2018-04-19,TSLA,300.08,301.01,288.55,291.08,6090599
2018-04-20,TSLA,290.24,299.98,289.75,295.17,5627928
2018-04-23,TSLA,283.37,291.62,282.33,291.29,4893378
2018-04-24,TSLA,283.46,287.09,278.46,285.0,5685308
2018-04-25,TSLA,280.69,285.16,277.25,283.5,4013574
2018-04-26,TSLA,285.48,285.79,276.5,278.75,4356013
2018-04-27,TSLA,294.075,294.47,283.83,285.37,4364626
2018-04-30,TSLA,293.9,298.73,292.5,293.61,4228172
2018-05-01,TSLA,299.92,300.82,293.22,293.51,4625603
2018-05-02,TSLA,301.15,306.85,297.7844,298.57,8970370
2018-05-03,TSLA,284.45,288.04,275.23,278.79,17352130
2018-05-04,TSLA,294.09,296.86,279.52,283.0,8569354
2018-05-07,TSLA,302.77,305.9588,295.17,297.5,8678224
2018-05-08,TSLA,301.97,307.75,299.0,300.7953,5930000
2018-05-09,TSLA,306.85,307.01,300.05,300.41,5727365
2018-05-10,TSLA,305.02,312.99,304.1119,307.4997,5651561
2018-05-11,TSLA,301.06,308.88,299.08,307.7,4679649
2018-05-14,TSLA,291.97,304.94,291.62,303.32,7286804
2018-05-15,TSLA,284.18,286.96,280.5,285.01,9519173
2018-05-16,TSLA,286.48,288.81,281.56,283.83,5674019
2018-05-17,TSLA,284.54,289.1873,283.97,285.9,4420612
2018-05-18,TSLA,276.82,284.65,274.0,284.65,7251887
2018-05-21,TSLA,284.49,291.49,281.3,281.33,9182571
2018-05-22,TSLA,275.01,288.0,273.422,287.762,8945756
2018-05-23,TSLA,279.07,279.9099,274.0,277.76,5985053
2018-05-24,TSLA,277.85,281.11,274.89,278.4,4190598
2018-05-25,TSLA,278.85,279.64,275.61,277.6252,3875082
2018-05-28,TSLA,278.85,278.85,278.85,278.85,0
2018-05-29,TSLA,283.76,286.5,276.15,278.51,5666640
2018-05-30,TSLA,291.72,295.005,281.6,283.29,7428352
2018-05-31,TSLA,284.73,290.37,282.93,287.21,5880796
2018-06-01,TSLA,291.82,291.95,283.839,285.86,5424386
2018-06-04,TSLA,296.74,299.0,293.548,294.34,4797810
2018-06-05,TSLA,291.13,297.8,286.74,297.7,5995157
2018-06-06,TSLA,319.5,322.17,297.48,300.5,18767269
2018-06-07,TSLA,316.09,330.0,313.58,316.15,14345271
2018-06-08,TSLA,317.66,324.48,317.15,319.0,8205202
2018-06-11,TSLA,332.1,334.66,322.5,322.51,13183473
2018-06-12,TSLA,342.77,354.97,338.0,344.7,22347403
2018-06-13,TSLA,344.78,347.2,339.8,346.706,9469804
2018-06-14,TSLA,357.72,358.75,346.6,347.63,10981023
2018-06-15,TSLA,358.17,364.67,351.25,353.84,10848254
2018-06-18,TSLA,370.83,373.73,354.5,355.4,12073226
2018-06-19,TSLA,352.55,370.0,346.25,365.16,12761903
2018-06-20,TSLA,362.22,364.38,352.0,358.04,8383656
2018-06-21,TSLA,347.51,366.2139,346.27,362.0,7967145
2018-06-22,TSLA,333.63,352.25,332.0,351.54,10266059
